"","clusterNumber","ANS01.PFC.1A","ANS01.PFC.2A","ANS01.PFC.3A","ANS01.PFC.1B","ANS01.PFC.2B","ANS01.PFC.3B","ANS01.PFC.1C","ANS01.PFC.2C","ANS01.PFC.3C"
"CSTAD",70,14.1763456,29.32023672,16.56070189,12.4870134,12.47764982,8.189748959,14.19573514,15.51402682,17.08770009
"9530059O14RIK",70,51.32681973,38.85466346,44.30787151,34.24373176,33.03446459,42.89091433,36.91886356,38.30431377,45.84486965
"REXO2",70,715.7786483,834.5481032,683.0533634,732.7784209,748.236909,720.1865752,726.0838902,714.4265759,727.331334
"SCD1",70,3265.282468,3879.022611,2716.37069,3206.110962,3373.895922,3174.729975,3042.894077,3136.422251,3329.895814
"PCCA",70,382.2051482,498.1376027,349.0255849,424.1042748,441.1864276,379.7472395,332.2417038,340.6536826,407.0094142
"GM14419",70,94.095683,160.892877,69.78550359,123.559997,116.6155976,95.23003024,70.12588237,107.3614847,96.12310024
"FAM3C",70,1391.722817,1579.079207,1397.070758,1362.812769,1487.158346,1370.830013,1414.98093,1412.739746,1359.399557
"TMCO6",70,136.1437684,174.9346049,107.597471,107.5959757,148.3462931,111.0734147,111.3806686,117.3299978,114.5734566
"MAD2L1",70,163.8720989,195.1817661,156.5684132,150.5182142,177.4984309,149.1565449,155.4648984,170.9558096,160.5175364
"RPIA",70,130.8141633,175.166532,127.2918814,123.6241814,155.3526831,144.1155799,132.0219891,138.2017494,157.0195926
"BDP1",70,804.5899119,1013.194719,784.0428472,713.0511316,883.2474372,820.0383664,761.4399163,821.8569426,825.6839488
"AA474408",70,3.328577982,6.28637011,4.15642004,3.461965387,4.823213323,3.591529536,2.817263591,4.472260662,4.437273335
"PRPF31",70,524.0639074,538.1859854,495.6399321,519.1438323,539.1515436,510.4209497,530.5993559,461.9635591,510.8467369
"MYH9",70,1720.671489,1794.447274,1727.467272,1626.328661,1827.867108,1697.268032,1810.321405,1539.250652,1721.80168
"SLC12A3",70,2.884342867,6.105419389,2.421862029,2.906958035,7.949052198,4.904119083,5.586775072,1.94708279,5.661999866
"E230020A03RIK",70,3.323383089,8.385103938,8.333717045,11.51956003,8.700746339,13.16322531,2.82064248,11.90204177,10.64405409
"PTP4A1",70,31.15453436,62.06701443,32.32227986,41.35289438,63.72605249,52.84704354,56.55213867,26.13849884,41.15504845
"PCDHAC1",70,6.647301434,7.35987028,8.327175871,4.614739961,7.736941659,0,6.606723998,3.740435981,7.971036863
"PTGES2",70,466.5871924,492.3893001,429.4814282,460.9354353,509.827209,478.0415003,512.7926334,423.783548,438.6742334
"D7BWG0826E",70,45.20287966,53.84406986,55.02511196,47.33486611,61.66475421,33.05256361,55.99351427,38.24701858,72.60462191
"PAOX",70,120.5143554,129.3610909,119.3499906,111.7461717,118.651591,139.7590648,112.3218461,56.69031713,80.11726766
"CYCS",70,1238.625235,1339.340088,1281.100599,1256.036383,1268.193732,1275.20482,1287.677496,1149.026824,1161.775954
"FKBP4",70,1761.793907,2006.192782,1932.143913,1890.869194,1919.750546,2022.573961,1878.828918,1599.68986,1516.259315
"ZFP612",70,944.5714128,998.9471219,945.3310777,953.0351098,981.2547889,992.1722378,962.4105158,894.3577475,891.7377212
"ZFP7",70,133.4321939,157.0382226,136.3135175,131.6634266,143.8278062,134.921566,130.3871727,109.8329616,118.7698072
"FBXL12OS",70,29.64261834,62.23413463,34.51808011,37.49409484,51.47708743,45.09230992,37.43483717,24.12192957,29.25502415
